lieu,type,pct,place
Concorde,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",5.2463211772232885,1
Concorde,"Cuisine française :
brasserie, café, auberge...",8.54126679462572,2
Concorde,"Junk food :
McDo, KFC, Burger King...",2.6871401151631478,3
Golf national,"Junk food :
McDo, KFC, Burger King...",25,1
Golf national,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",25,2
Golf national,"Cuisine française :
brasserie, café, auberge...",0,3
Grand Palais,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",5.142627561269586,1
Grand Palais,"Cuisine française :
brasserie, café, auberge...",7.955002008838891,2
Grand Palais,"Junk food :
McDo, KFC, Burger King...",2.7320208919244675,3
Hôtel de ville-Invalides,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",4.578219364893824,1
Hôtel de ville-Invalides,"Cuisine française :
brasserie, café, auberge...",6.954997077732321,2
Hôtel de ville-Invalides,"Junk food :
McDo, KFC, Burger King...",2.08455094486655,3
Invalides,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",4.673762147154095,1
Invalides,"Cuisine française :
brasserie, café, auberge...",8.190652475705692,2
Invalides,"Junk food :
McDo, KFC, Burger King...",2.4525682554372974,3
Invalides-Pont Alexandre-III,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",4.977560179518563,1
Invalides-Pont Alexandre-III,"Cuisine française :
brasserie, café, auberge...",8.119135046919626,2
Invalides-Pont Alexandre-III,"Junk food :
McDo, KFC, Burger King...",2.570379436964504,3
Marina de Marseille,"Cuisine française :
brasserie, café, auberge...",2.631578947368421,1
Marina de Marseille,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",3.508771929824561,2
Marina de Marseille,"Junk food :
McDo, KFC, Burger King...",1.7543859649122806,3
Parc des Princes,"Cuisine française :
brasserie, café, auberge...",5.3061224489795915,1
Parc des Princes,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",6.938775510204081,2
Parc des Princes,"Junk food :
McDo, KFC, Burger King...",4.081632653061225,3
Paris La Défense Arena,"Junk food :
McDo, KFC, Burger King...",7.632093933463796,1
Paris La Défense Arena,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",8.610567514677104,2
Paris La Défense Arena,"Cuisine française :
brasserie, café, auberge...",7.436399217221135,3
Pont Alexandre-III,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",4.977560179518563,1
Pont Alexandre-III,"Cuisine française :
brasserie, café, auberge...",8.119135046919626,2
Pont Alexandre-III,"Junk food :
McDo, KFC, Burger King...",2.570379436964504,3
Site d'escalade,"Junk food :
McDo, KFC, Burger King...",4.9079754601226995,1
Site d'escalade,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",13.496932515337424,2
Site d'escalade,"Cuisine française :
brasserie, café, auberge...",4.294478527607362,3
Stade BMX,"Junk food :
McDo, KFC, Burger King...",10.077519379844961,1
Stade BMX,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",12.4031007751938,2
Stade BMX,"Cuisine française :
brasserie, café, auberge...",3.875968992248062,3
Stade de Bordeaux,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",0,1
Stade de Bordeaux,"Cuisine française :
brasserie, café, auberge...",0,2
Stade de Bordeaux,"Junk food :
McDo, KFC, Burger King...",0,3
Stade de France,"Junk food :
McDo, KFC, Burger King...",6.70995670995671,1
Stade de France,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",9.956709956709958,2
Stade de France,"Cuisine française :
brasserie, café, auberge...",3.67965367965368,3
Stade de la Beaujoire,"Junk food :
McDo, KFC, Burger King...",7.5,1
Stade de la Beaujoire,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",25,2
Stade de la Beaujoire,"Cuisine française :
brasserie, café, auberge...",5,3
Stade de Lyon,"Junk food :
McDo, KFC, Burger King...",5.454545454545454,1
Stade de Lyon,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",14.545454545454545,2
Stade de Lyon,"Cuisine française :
brasserie, café, auberge...",3.6363636363636362,3
Stade de Marseille,"Junk food :
McDo, KFC, Burger King...",5.384615384615385,1
Stade de Marseille,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",8.717948717948717,2
Stade de Marseille,"Cuisine française :
brasserie, café, auberge...",4.871794871794872,3
Stade de Nice,"Cuisine française :
brasserie, café, auberge...",4,1
Stade de Nice,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",12,2
Stade de Nice,"Junk food :
McDo, KFC, Burger King...",4,3
Stade Geoffroy-Guichard,"Cuisine française :
brasserie, café, auberge...",6.41025641025641,1
Stade Geoffroy-Guichard,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",8.974358974358974,2
Stade Geoffroy-Guichard,"Junk food :
McDo, KFC, Burger King...",6.41025641025641,3
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Junk food :
McDo, KFC, Burger King...",4.878048780487805,1
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Cuisine française :
brasserie, café, auberge...",4.878048780487805,2
Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",2.4390243902439024,3
Stade nautique-Bassin eau vive,"Junk food :
McDo, KFC, Burger King...",4.878048780487805,1
Stade nautique-Bassin eau vive,"Cuisine française :
brasserie, café, auberge...",4.878048780487805,2
Stade nautique-Bassin eau vive,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",2.4390243902439024,3
Stade Pierre-Mauroy,"Cuisine française :
brasserie, café, auberge...",11.643835616438356,1
Stade Pierre-Mauroy,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",16.43835616438356,2
Stade Pierre-Mauroy,"Junk food :
McDo, KFC, Burger King...",7.534246575342466,3
Stade Roland-Garros,"Cuisine française :
brasserie, café, auberge...",5.673758865248227,1
Stade Roland-Garros,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",6.382978723404255,2
Stade Roland-Garros,"Junk food :
McDo, KFC, Burger King...",4.25531914893617,3
Stade tour Eiffel,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",5.540720961281709,1
Stade tour Eiffel,"Cuisine française :
brasserie, café, auberge...",8.210947930574099,2
Stade tour Eiffel,"Junk food :
McDo, KFC, Burger King...",2.53671562082777,3
Stade Yves-du-Manoir,"Junk food :
McDo, KFC, Burger King...",5.147058823529411,1
Stade Yves-du-Manoir,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",8.088235294117647,2
Stade Yves-du-Manoir,"Cuisine française :
brasserie, café, auberge...",3.6764705882352944,3
Trocadéro,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",5.851413543721236,1
Trocadéro,"Cuisine française :
brasserie, café, auberge...",7.758053911900066,2
Trocadéro,"Junk food :
McDo, KFC, Burger King...",2.7613412228796843,3
Vélodrome national,"Junk food :
McDo, KFC, Burger King...",10.077519379844961,1
Vélodrome national,"Cuisine du monde  :
pizzas, tacos, sushis, bagel, latino...",12.4031007751938,2
Vélodrome national,"Cuisine française :
brasserie, café, auberge...",3.875968992248062,3
