x,y,discipline,image,lieu,n,present
3,0,Water-polo,icones/Water-polo.svg,Colline d'Elancourt,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Paris Sud 1,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade Tour Eiffel,NA,non
3,0,Water-polo,icones/Water-polo.svg,Arena Paris Sud 6,NA,non
3,0,Water-polo,icones/Water-polo.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
3,0,Water-polo,icones/Water-polo.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
3,0,Water-polo,icones/Water-polo.svg,Clichy-sous-Bois,NA,non
3,0,Water-polo,icones/Water-polo.svg,Centre National de Tir de Châteauroux,NA,non
3,0,Water-polo,icones/Water-polo.svg,Pont Alexandre III,NA,non
4,0,VTT,icones/VTT.svg,Quais de Seine,NA,non
4,0,VTT,icones/VTT.svg,Stade de France,NA,non
4,0,VTT,icones/VTT.svg,Trocadéro,NA,non
4,0,VTT,icones/VTT.svg,Hôtel de ville-Invalides,NA,non
4,0,VTT,icones/VTT.svg,Stade nautique-Bassin eau calme,NA,non
4,0,VTT,icones/VTT.svg,Arena Porte de La Chapelle,NA,non
4,0,VTT,icones/VTT.svg,Stade Pierre-Mauroy,NA,non
4,0,VTT,icones/VTT.svg,Arena Bercy,NA,non
4,0,VTT,icones/VTT.svg,Concorde,NA,non
4,0,VTT,icones/VTT.svg,Stade tour Eiffel,NA,non
4,0,VTT,icones/VTT.svg,Stade BMX,NA,non
4,0,VTT,icones/VTT.svg,Stade Roland-Garros,NA,non
4,0,VTT,icones/VTT.svg,Arena Paris Nord,NA,non
4,0,VTT,icones/VTT.svg,Stade nautique-Bassin eau vive,NA,non
4,0,VTT,icones/VTT.svg,Vélodrome national,NA,non
4,0,VTT,icones/VTT.svg,Invalides-Pont Alexandre-III,NA,non
4,0,VTT,icones/VTT.svg,Site d'escalade,NA,non
4,0,VTT,icones/VTT.svg,Grand Palais,NA,non
4,0,VTT,icones/VTT.svg,Parc des Princes,NA,non
4,0,VTT,icones/VTT.svg,Stade Geoffroy-Guichard,NA,non
4,0,VTT,icones/VTT.svg,Stade de la Beaujoire,NA,non
4,0,VTT,icones/VTT.svg,Stade de Nice,NA,non
4,0,VTT,icones/VTT.svg,Stade de Bordeaux,NA,non
4,0,VTT,icones/VTT.svg,Stade de Lyon,NA,non
4,0,VTT,icones/VTT.svg,Stade de Marseille,NA,non
4,0,VTT,icones/VTT.svg,Golf national,NA,non
4,0,VTT,icones/VTT.svg,Arena Paris Sud,NA,non
4,0,VTT,icones/VTT.svg,Stade Yves-du-Manoir,NA,non
4,0,VTT,icones/VTT.svg,Arena Champ-de-Mars,NA,non
4,0,VTT,icones/VTT.svg,Paris La Défense Arena,NA,non
4,0,VTT,icones/VTT.svg,Centre aquatique,NA,non
4,0,VTT,icones/VTT.svg,Pont Alexandre-III,NA,non
4,0,VTT,icones/VTT.svg,Château de Versailles,NA,non
4,0,VTT,icones/VTT.svg,Teahupoo,NA,non
4,0,VTT,icones/VTT.svg,Centre national de tir,NA,non
4,0,VTT,icones/VTT.svg,Invalides,NA,non
4,0,VTT,icones/VTT.svg,Marina de Marseille,NA,non
4,0,VTT,icones/VTT.svg,Colline d'Elancourt,2,oui
4,0,VTT,icones/VTT.svg,Arena Paris Sud 1,NA,non
4,0,VTT,icones/VTT.svg,Stade Tour Eiffel,NA,non
4,0,VTT,icones/VTT.svg,Arena Paris Sud 6,NA,non
4,0,VTT,icones/VTT.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
4,0,VTT,icones/VTT.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
4,0,VTT,icones/VTT.svg,Clichy-sous-Bois,NA,non
4,0,VTT,icones/VTT.svg,Centre National de Tir de Châteauroux,NA,non
4,0,VTT,icones/VTT.svg,Pont Alexandre III,NA,non
5,0,Volleyball,icones/Volleyball.svg,Quais de Seine,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de France,NA,non
5,0,Volleyball,icones/Volleyball.svg,Trocadéro,NA,non
5,0,Volleyball,icones/Volleyball.svg,Hôtel de ville-Invalides,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade nautique-Bassin eau calme,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Porte de La Chapelle,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade Pierre-Mauroy,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Bercy,NA,non
5,0,Volleyball,icones/Volleyball.svg,Concorde,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade tour Eiffel,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade BMX,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade Roland-Garros,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Paris Nord,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade nautique-Bassin eau vive,NA,non
5,0,Volleyball,icones/Volleyball.svg,Vélodrome national,NA,non
5,0,Volleyball,icones/Volleyball.svg,Invalides-Pont Alexandre-III,NA,non
5,0,Volleyball,icones/Volleyball.svg,Site d'escalade,NA,non
5,0,Volleyball,icones/Volleyball.svg,Grand Palais,NA,non
5,0,Volleyball,icones/Volleyball.svg,Parc des Princes,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade Geoffroy-Guichard,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de la Beaujoire,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de Nice,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de Bordeaux,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de Lyon,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade de Marseille,NA,non
5,0,Volleyball,icones/Volleyball.svg,Golf national,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Paris Sud,52,oui
5,0,Volleyball,icones/Volleyball.svg,Stade Yves-du-Manoir,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Champ-de-Mars,NA,non
5,0,Volleyball,icones/Volleyball.svg,Paris La Défense Arena,NA,non
5,0,Volleyball,icones/Volleyball.svg,Centre aquatique,NA,non
5,0,Volleyball,icones/Volleyball.svg,Pont Alexandre-III,NA,non
5,0,Volleyball,icones/Volleyball.svg,Château de Versailles,NA,non
5,0,Volleyball,icones/Volleyball.svg,Teahupoo,NA,non
5,0,Volleyball,icones/Volleyball.svg,Centre national de tir,NA,non
5,0,Volleyball,icones/Volleyball.svg,Invalides,NA,non
5,0,Volleyball,icones/Volleyball.svg,Marina de Marseille,NA,non
5,0,Volleyball,icones/Volleyball.svg,Colline d'Elancourt,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Paris Sud 1,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade Tour Eiffel,NA,non
5,0,Volleyball,icones/Volleyball.svg,Arena Paris Sud 6,NA,non
5,0,Volleyball,icones/Volleyball.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
5,0,Volleyball,icones/Volleyball.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
5,0,Volleyball,icones/Volleyball.svg,Clichy-sous-Bois,NA,non
5,0,Volleyball,icones/Volleyball.svg,Centre National de Tir de Châteauroux,NA,non
5,0,Volleyball,icones/Volleyball.svg,Pont Alexandre III,NA,non
1,1,Voile,icones/Voile.svg,Quais de Seine,NA,non
1,1,Voile,icones/Voile.svg,Stade de France,NA,non
1,1,Voile,icones/Voile.svg,Trocadéro,NA,non
1,1,Voile,icones/Voile.svg,Hôtel de ville-Invalides,NA,non
1,1,Voile,icones/Voile.svg,Stade nautique-Bassin eau calme,NA,non
1,1,Voile,icones/Voile.svg,Arena Porte de La Chapelle,NA,non
1,1,Voile,icones/Voile.svg,Stade Pierre-Mauroy,NA,non
1,1,Voile,icones/Voile.svg,Arena Bercy,NA,non
1,1,Voile,icones/Voile.svg,Concorde,NA,non
1,1,Voile,icones/Voile.svg,Stade tour Eiffel,NA,non
1,1,Voile,icones/Voile.svg,Stade BMX,NA,non
1,1,Voile,icones/Voile.svg,Stade Roland-Garros,NA,non
1,1,Voile,icones/Voile.svg,Arena Paris Nord,NA,non
1,1,Voile,icones/Voile.svg,Stade nautique-Bassin eau vive,NA,non
1,1,Voile,icones/Voile.svg,Vélodrome national,NA,non
1,1,Voile,icones/Voile.svg,Invalides-Pont Alexandre-III,NA,non
1,1,Voile,icones/Voile.svg,Site d'escalade,NA,non
1,1,Voile,icones/Voile.svg,Grand Palais,NA,non
1,1,Voile,icones/Voile.svg,Parc des Princes,NA,non
1,1,Voile,icones/Voile.svg,Stade Geoffroy-Guichard,NA,non
1,1,Voile,icones/Voile.svg,Stade de la Beaujoire,NA,non
1,1,Voile,icones/Voile.svg,Stade de Nice,NA,non
1,1,Voile,icones/Voile.svg,Stade de Bordeaux,NA,non
1,1,Voile,icones/Voile.svg,Stade de Lyon,NA,non
1,1,Voile,icones/Voile.svg,Stade de Marseille,NA,non
1,1,Voile,icones/Voile.svg,Golf national,NA,non
1,1,Voile,icones/Voile.svg,Arena Paris Sud,NA,non
1,1,Voile,icones/Voile.svg,Stade Yves-du-Manoir,NA,non
1,1,Voile,icones/Voile.svg,Arena Champ-de-Mars,NA,non
1,1,Voile,icones/Voile.svg,Paris La Défense Arena,NA,non
1,1,Voile,icones/Voile.svg,Centre aquatique,NA,non
1,1,Voile,icones/Voile.svg,Pont Alexandre-III,NA,non
1,1,Voile,icones/Voile.svg,Château de Versailles,NA,non
1,1,Voile,icones/Voile.svg,Teahupoo,NA,non
1,1,Voile,icones/Voile.svg,Centre national de tir,NA,non
1,1,Voile,icones/Voile.svg,Invalides,NA,non
1,1,Voile,icones/Voile.svg,Marina de Marseille,53,oui
1,1,Voile,icones/Voile.svg,Colline d'Elancourt,NA,non
1,1,Voile,icones/Voile.svg,Arena Paris Sud 1,NA,non
1,1,Voile,icones/Voile.svg,Stade Tour Eiffel,NA,non
1,1,Voile,icones/Voile.svg,Arena Paris Sud 6,NA,non
1,1,Voile,icones/Voile.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
1,1,Voile,icones/Voile.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
1,1,Voile,icones/Voile.svg,Clichy-sous-Bois,NA,non
1,1,Voile,icones/Voile.svg,Centre National de Tir de Châteauroux,NA,non
1,1,Voile,icones/Voile.svg,Pont Alexandre III,NA,non
2,1,Triathlon,icones/Triathlon.svg,Quais de Seine,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de France,NA,non
2,1,Triathlon,icones/Triathlon.svg,Trocadéro,NA,non
2,1,Triathlon,icones/Triathlon.svg,Hôtel de ville-Invalides,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade nautique-Bassin eau calme,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Porte de La Chapelle,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade Pierre-Mauroy,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Bercy,NA,non
2,1,Triathlon,icones/Triathlon.svg,Concorde,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade tour Eiffel,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade BMX,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade Roland-Garros,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Paris Nord,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade nautique-Bassin eau vive,NA,non
2,1,Triathlon,icones/Triathlon.svg,Vélodrome national,NA,non
2,1,Triathlon,icones/Triathlon.svg,Invalides-Pont Alexandre-III,NA,non
2,1,Triathlon,icones/Triathlon.svg,Site d'escalade,NA,non
2,1,Triathlon,icones/Triathlon.svg,Grand Palais,NA,non
2,1,Triathlon,icones/Triathlon.svg,Parc des Princes,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade Geoffroy-Guichard,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de la Beaujoire,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de Nice,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de Bordeaux,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de Lyon,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade de Marseille,NA,non
2,1,Triathlon,icones/Triathlon.svg,Golf national,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Paris Sud,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade Yves-du-Manoir,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Champ-de-Mars,NA,non
2,1,Triathlon,icones/Triathlon.svg,Paris La Défense Arena,NA,non
2,1,Triathlon,icones/Triathlon.svg,Centre aquatique,NA,non
2,1,Triathlon,icones/Triathlon.svg,Pont Alexandre-III,3,oui
2,1,Triathlon,icones/Triathlon.svg,Château de Versailles,NA,non
2,1,Triathlon,icones/Triathlon.svg,Teahupoo,NA,non
2,1,Triathlon,icones/Triathlon.svg,Centre national de tir,NA,non
2,1,Triathlon,icones/Triathlon.svg,Invalides,NA,non
2,1,Triathlon,icones/Triathlon.svg,Marina de Marseille,NA,non
2,1,Triathlon,icones/Triathlon.svg,Colline d'Elancourt,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Paris Sud 1,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade Tour Eiffel,NA,non
2,1,Triathlon,icones/Triathlon.svg,Arena Paris Sud 6,NA,non
2,1,Triathlon,icones/Triathlon.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
2,1,Triathlon,icones/Triathlon.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
2,1,Triathlon,icones/Triathlon.svg,Clichy-sous-Bois,NA,non
2,1,Triathlon,icones/Triathlon.svg,Centre National de Tir de Châteauroux,NA,non
2,1,Triathlon,icones/Triathlon.svg,Pont Alexandre III,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Quais de Seine,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de France,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Trocadéro,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Hôtel de ville-Invalides,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade nautique-Bassin eau calme,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Porte de La Chapelle,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade Pierre-Mauroy,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Bercy,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Concorde,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade tour Eiffel,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade BMX,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade Roland-Garros,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Paris Nord,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade nautique-Bassin eau vive,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Vélodrome national,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Invalides-Pont Alexandre-III,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Site d'escalade,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Grand Palais,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Parc des Princes,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade Geoffroy-Guichard,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de la Beaujoire,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de Nice,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de Bordeaux,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de Lyon,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade de Marseille,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Golf national,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Paris Sud,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade Yves-du-Manoir,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Champ-de-Mars,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Paris La Défense Arena,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Centre aquatique,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Pont Alexandre-III,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Château de Versailles,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Teahupoo,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Centre national de tir,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Invalides,51,oui
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Marina de Marseille,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Colline d'Elancourt,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Paris Sud 1,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade Tour Eiffel,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Arena Paris Sud 6,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Clichy-sous-Bois,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Centre National de Tir de Châteauroux,NA,non
3,1,Tir à l'arc,icones/Tir à l'arc.svg,Pont Alexandre III,NA,non
4,1,Tir,icones/Tir.svg,Quais de Seine,NA,non
4,1,Tir,icones/Tir.svg,Stade de France,NA,non
4,1,Tir,icones/Tir.svg,Trocadéro,NA,non
4,1,Tir,icones/Tir.svg,Hôtel de ville-Invalides,NA,non
4,1,Tir,icones/Tir.svg,Stade nautique-Bassin eau calme,NA,non
4,1,Tir,icones/Tir.svg,Arena Porte de La Chapelle,NA,non
4,1,Tir,icones/Tir.svg,Stade Pierre-Mauroy,NA,non
4,1,Tir,icones/Tir.svg,Arena Bercy,NA,non
4,1,Tir,icones/Tir.svg,Concorde,NA,non
4,1,Tir,icones/Tir.svg,Stade tour Eiffel,NA,non
4,1,Tir,icones/Tir.svg,Stade BMX,NA,non
4,1,Tir,icones/Tir.svg,Stade Roland-Garros,NA,non
4,1,Tir,icones/Tir.svg,Arena Paris Nord,NA,non
4,1,Tir,icones/Tir.svg,Stade nautique-Bassin eau vive,NA,non
4,1,Tir,icones/Tir.svg,Vélodrome national,NA,non
4,1,Tir,icones/Tir.svg,Invalides-Pont Alexandre-III,NA,non
4,1,Tir,icones/Tir.svg,Site d'escalade,NA,non
4,1,Tir,icones/Tir.svg,Grand Palais,NA,non
4,1,Tir,icones/Tir.svg,Parc des Princes,NA,non
4,1,Tir,icones/Tir.svg,Stade Geoffroy-Guichard,NA,non
4,1,Tir,icones/Tir.svg,Stade de la Beaujoire,NA,non
4,1,Tir,icones/Tir.svg,Stade de Nice,NA,non
4,1,Tir,icones/Tir.svg,Stade de Bordeaux,NA,non
4,1,Tir,icones/Tir.svg,Stade de Lyon,NA,non
4,1,Tir,icones/Tir.svg,Stade de Marseille,NA,non
4,1,Tir,icones/Tir.svg,Golf national,NA,non
4,1,Tir,icones/Tir.svg,Arena Paris Sud,NA,non
4,1,Tir,icones/Tir.svg,Stade Yves-du-Manoir,NA,non
4,1,Tir,icones/Tir.svg,Arena Champ-de-Mars,NA,non
4,1,Tir,icones/Tir.svg,Paris La Défense Arena,NA,non
4,1,Tir,icones/Tir.svg,Centre aquatique,NA,non
4,1,Tir,icones/Tir.svg,Pont Alexandre-III,NA,non
4,1,Tir,icones/Tir.svg,Château de Versailles,NA,non
4,1,Tir,icones/Tir.svg,Teahupoo,NA,non
4,1,Tir,icones/Tir.svg,Centre national de tir,34,oui
4,1,Tir,icones/Tir.svg,Invalides,NA,non
4,1,Tir,icones/Tir.svg,Marina de Marseille,NA,non
4,1,Tir,icones/Tir.svg,Colline d'Elancourt,NA,non
4,1,Tir,icones/Tir.svg,Arena Paris Sud 1,NA,non
4,1,Tir,icones/Tir.svg,Stade Tour Eiffel,NA,non
4,1,Tir,icones/Tir.svg,Arena Paris Sud 6,NA,non
4,1,Tir,icones/Tir.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
4,1,Tir,icones/Tir.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
4,1,Tir,icones/Tir.svg,Clichy-sous-Bois,NA,non
4,1,Tir,icones/Tir.svg,Centre National de Tir de Châteauroux,NA,non
4,1,Tir,icones/Tir.svg,Pont Alexandre III,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Quais de Seine,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de France,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Trocadéro,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Hôtel de ville-Invalides,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade nautique-Bassin eau calme,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Porte de La Chapelle,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade Pierre-Mauroy,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Bercy,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Concorde,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade tour Eiffel,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade BMX,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade Roland-Garros,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Paris Nord,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade nautique-Bassin eau vive,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Vélodrome national,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Invalides-Pont Alexandre-III,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Site d'escalade,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Grand Palais,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Parc des Princes,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade Geoffroy-Guichard,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de la Beaujoire,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de Nice,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de Bordeaux,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de Lyon,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade de Marseille,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Golf national,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Paris Sud,45,oui
5,1,Tennis de table,icones/Tennis de table.svg,Stade Yves-du-Manoir,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Champ-de-Mars,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Paris La Défense Arena,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Centre aquatique,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Pont Alexandre-III,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Château de Versailles,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Teahupoo,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Centre national de tir,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Invalides,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Marina de Marseille,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Colline d'Elancourt,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Paris Sud 1,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade Tour Eiffel,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Arena Paris Sud 6,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Stade nautique de Vaires-sur-Marne - Bassin eaux calmes,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Vélodrome National de Saint-Quentin-en-Yvelines,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Clichy-sous-Bois,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Centre National de Tir de Châteauroux,NA,non
5,1,Tennis de table,icones/Tennis de table.svg,Pont Alexandre III,NA,non
6,1,Tennis,icones/Tennis.svg,Quais de Seine,NA,non
6,1,Tennis,icones/Tennis.svg,Stade de France,NA,non
6,1,Tennis,icones/Tennis.svg,Trocadéro,NA,non
6,1,Tennis,icones/Tennis.svg,Hôtel de ville-Invalides,NA,non
