etablissement,type,lieu,latitude,longitude,xmin,ymin,xmax,ymax
LE SAPHIR,Débits de boissons,Stade de France,48.916827,2.37595,2.341052,48.91103,2.379522,48.937732
MANAL,Restauration traditionnelle,Stade de France,48.917279,2.374991,2.341052,48.91103,2.379522,48.937732
BIBI'S PIZZA,Restauration de type rapide,Stade de France,48.915913,2.37436,2.341052,48.91103,2.379522,48.937732
CAFE DE LA PAIX,Débits de boissons,Stade de France,48.920657,2.3772,2.341052,48.91103,2.379522,48.937732
F.D.,Restauration traditionnelle,Stade de France,48.916525,2.375043,2.341052,48.91103,2.379522,48.937732
L' ETOILE DU MAROC,Restauration traditionnelle,Stade de France,48.917279,2.374991,2.341052,48.91103,2.379522,48.937732
LA MAROCAINE DE PARIS,Restauration de type rapide,Stade de France,48.918952,2.373171,2.341052,48.91103,2.379522,48.937732
RITEM,Restauration traditionnelle,Stade de France,48.917581,2.374561,2.341052,48.91103,2.379522,48.937732
CUISINE DU CHEF H,Restauration de type rapide,Stade de France,48.921965,2.373755,2.341052,48.91103,2.379522,48.937732
CHRISTOPHER,Restauration de type rapide,Stade de France,48.917073,2.375214,2.341052,48.91103,2.379522,48.937732
CHICKEN H,Restauration de type rapide,Stade de France,48.919361,2.37831,2.341052,48.91103,2.379522,48.937732
LE STUDIO,Débits de boissons,Stade de France,48.917581,2.374561,2.341052,48.91103,2.379522,48.937732
STUFF EAT,Restauration de type rapide,Stade de France,48.919477,2.373658,2.341052,48.91103,2.379522,48.937732
RESTAURANT SAVEURS D'ANTAN,Restauration de type rapide,Stade de France,48.921713,2.373407,2.341052,48.91103,2.379522,48.937732
LA TOUR,Restauration traditionnelle,Stade de France,48.926479,2.378146,2.341052,48.91103,2.379522,48.937732
DIBI SOGO,Restauration de type rapide,Stade de France,48.925325,2.379522,2.341052,48.91103,2.379522,48.937732
ANO CHICKEN,Restauration de type rapide,Stade de France,48.927473,2.378105,2.341052,48.91103,2.379522,48.937732
LIVRAISON & CO,Restauration de type rapide,Stade de France,48.928593,2.378211,2.341052,48.91103,2.379522,48.937732
AISH NOOR FOOD,Restauration de type rapide,Stade de France,48.925998,2.37936,2.341052,48.91103,2.379522,48.937732
BRICK AND CO,Restauration de type rapide,Stade de France,48.925278,2.379229,2.341052,48.91103,2.379522,48.937732
R.T. MULTISERVICES,Restauration traditionnelle,Stade de France,48.925998,2.37936,2.341052,48.91103,2.379522,48.937732
BRASSERIE DE LA TOUR,Débits de boissons,Stade de France,48.927525,2.378237,2.341052,48.91103,2.379522,48.937732
LA MAMMA DE MONTREUIL,Restauration de type rapide,Stade de France,48.928434,2.376002,2.341052,48.91103,2.379522,48.937732
HANAA,Restauration traditionnelle,Stade de France,48.933875,2.356108,2.341052,48.91103,2.379522,48.937732
MAITRE HUGUETTE DUCATEL JOEL,Restauration traditionnelle,Stade de France,48.933999,2.355878,2.341052,48.91103,2.379522,48.937732
LE COQ HARDI,Débits de boissons,Stade de France,48.936412,2.350972,2.341052,48.91103,2.379522,48.937732
L'ESCARGOT,Restauration traditionnelle,Stade de France,48.930879,2.356494,2.341052,48.91103,2.379522,48.937732
AU BON COIN,Débits de boissons,Stade de France,48.935658,2.357515,2.341052,48.91103,2.379522,48.937732
BOULANGERIES PAUL,Restauration de type rapide,Stade de France,48.936914,2.358658,2.341052,48.91103,2.379522,48.937732
SARL VOLKAN,Restauration de type rapide,Stade de France,48.931948,2.35311,2.341052,48.91103,2.379522,48.937732
MILORD,Restauration traditionnelle,Stade de France,48.936995,2.358772,2.341052,48.91103,2.379522,48.937732
TE - CREATEUR D'INSTANTS,Restauration traditionnelle,Stade de France,48.925738,2.356461,2.341052,48.91103,2.379522,48.937732
PIZZA DI ANGELO,Restauration de type rapide,Stade de France,48.936308,2.350429,2.341052,48.91103,2.379522,48.937732
STEF HEMMAR AIT OUFELLA,Débits de boissons,Stade de France,48.931268,2.354127,2.341052,48.91103,2.379522,48.937732
BARAKA GRILL,Restauration de type rapide,Stade de France,48.927754,2.363514,2.341052,48.91103,2.379522,48.937732
BF CASABLANCA,Restauration traditionnelle,Stade de France,48.934227,2.355754,2.341052,48.91103,2.379522,48.937732
SAPHIR,Restauration traditionnelle,Stade de France,48.935334,2.356039,2.341052,48.91103,2.379522,48.937732
GRILL 2000,Restauration de type rapide,Stade de France,48.927754,2.363514,2.341052,48.91103,2.379522,48.937732
LE FOURNIL DU KREMLIN,Restauration de type rapide,Stade de France,48.936602,2.354066,2.341052,48.91103,2.379522,48.937732
KALI EXPRESS,Restauration de type rapide,Stade de France,48.928753,2.362365,2.341052,48.91103,2.379522,48.937732
PIZZA MARINA,Restauration traditionnelle,Stade de France,48.931078,2.356836,2.341052,48.91103,2.379522,48.937732
BRASSERIE LE TERMINUS,Débits de boissons,Stade de France,48.928246,2.365892,2.341052,48.91103,2.379522,48.937732
EURO BAR,Débits de boissons,Stade de France,48.932832,2.35037,2.341052,48.91103,2.379522,48.937732
LA FINALE,Restauration de type rapide,Stade de France,48.93026,2.355641,2.341052,48.91103,2.379522,48.937732
SOCIETE FIGUEIREDO ET ASSOCIES,Restauration traditionnelle,Stade de France,48.923302,2.362697,2.341052,48.91103,2.379522,48.937732
MIMI,Restauration traditionnelle,Stade de France,48.931466,2.355985,2.341052,48.91103,2.379522,48.937732
YNESS,Restauration de type rapide,Stade de France,48.934227,2.355754,2.341052,48.91103,2.379522,48.937732
POINT 15,Restauration traditionnelle,Stade de France,48.936782,2.351833,2.341052,48.91103,2.379522,48.937732
COMPTOIR DU MARCHE,Débits de boissons,Stade de France,48.937466,2.356116,2.341052,48.91103,2.379522,48.937732
KYMA,Restauration traditionnelle,Stade de France,48.933699,2.355982,2.341052,48.91103,2.379522,48.937732
AU SOLEIL D OR,Restauration traditionnelle,Stade de France,48.935143,2.357913,2.341052,48.91103,2.379522,48.937732
LES 2 A,Restauration traditionnelle,Stade de France,48.923302,2.362697,2.341052,48.91103,2.379522,48.937732
FAM 3,Restauration traditionnelle,Stade de France,48.923388,2.364623,2.341052,48.91103,2.379522,48.937732
OURAFISA,Débits de boissons,Stade de France,48.935776,2.357888,2.341052,48.91103,2.379522,48.937732
CAMPOME,Restauration traditionnelle,Stade de France,48.930682,2.353638,2.341052,48.91103,2.379522,48.937732
SARL LE MELODY,Restauration traditionnelle,Stade de France,48.931783,2.355854,2.341052,48.91103,2.379522,48.937732
KILY'S,Restauration traditionnelle,Stade de France,48.934479,2.367503,2.341052,48.91103,2.379522,48.937732
SNAKE,Restauration traditionnelle,Stade de France,48.923302,2.362697,2.341052,48.91103,2.379522,48.937732
OSAKA,Restauration traditionnelle,Stade de France,48.936399,2.36177,2.341052,48.91103,2.379522,48.937732
DEDE,Restauration de type rapide,Stade de France,48.936729,2.353121,2.341052,48.91103,2.379522,48.937732
LE BEL AIR,Restauration de type rapide,Stade de France,48.926028,2.342082,2.341052,48.91103,2.379522,48.937732
ADAM,Restauration traditionnelle,Stade de France,48.931078,2.356836,2.341052,48.91103,2.379522,48.937732
VERENA,Restauration traditionnelle,Stade de France,48.932124,2.353791,2.341052,48.91103,2.379522,48.937732
INDIVISION BOUCHERIT,Restauration traditionnelle,Stade de France,48.929748,2.357659,2.341052,48.91103,2.379522,48.937732
EURL RLK,Restauration traditionnelle,Stade de France,48.930879,2.356494,2.341052,48.91103,2.379522,48.937732
RESTAURANT LES JUMEAUX,Restauration traditionnelle,Stade de France,48.931263,2.355913,2.341052,48.91103,2.379522,48.937732
MILLE ET UNE MERVEILLE,Restauration de type rapide,Stade de France,48.925186,2.364476,2.341052,48.91103,2.379522,48.937732
PARADIS DES ANTILLES,Restauration de type rapide,Stade de France,48.934845,2.355982,2.341052,48.91103,2.379522,48.937732
HAMA,Restauration traditionnelle,Stade de France,48.931078,2.356836,2.341052,48.91103,2.379522,48.937732
EURL MAS,Restauration de type rapide,Stade de France,48.932376,2.354774,2.341052,48.91103,2.379522,48.937732
SARL LE SQUARE,Restauration de type rapide,Stade de France,48.931948,2.35311,2.341052,48.91103,2.379522,48.937732
LE MORETTI,Débits de boissons,Stade de France,48.932838,2.36634,2.341052,48.91103,2.379522,48.937732
SPMPB,Restauration de type rapide,Stade de France,48.936353,2.350591,2.341052,48.91103,2.379522,48.937732
HADJEB SARL,Restauration de type rapide,Stade de France,48.935816,2.357717,2.341052,48.91103,2.379522,48.937732
KANGE,Restauration de type rapide,Stade de France,48.932225,2.355671,2.341052,48.91103,2.379522,48.937732
FABULOUS,Restauration de type rapide,Stade de France,48.932124,2.353791,2.341052,48.91103,2.379522,48.937732
PLANET FAST FOOT,Restauration de type rapide,Stade de France,48.925562,2.367321,2.341052,48.91103,2.379522,48.937732
PONDI HA GWENED,Restauration traditionnelle,Stade de France,48.931723,2.3534,2.341052,48.91103,2.379522,48.937732
ABECA,Restauration traditionnelle,Stade de France,48.923302,2.362697,2.341052,48.91103,2.379522,48.937732
LA MEDIA,Restauration de type rapide,Stade de France,48.928753,2.362365,2.341052,48.91103,2.379522,48.937732
CROQ O PAIN,Restauration de type rapide,Stade de France,48.93744,2.358996,2.341052,48.91103,2.379522,48.937732
MATA & DAX,Restauration de type rapide,Stade de France,48.929748,2.357659,2.341052,48.91103,2.379522,48.937732
HAPPY DAY,Restauration traditionnelle,Stade de France,48.934714,2.355966,2.341052,48.91103,2.379522,48.937732
CHRISMA,Restauration traditionnelle,Stade de France,48.934688,2.355804,2.341052,48.91103,2.379522,48.937732
SSH PIZZA SERVICE,Restauration de type rapide,Stade de France,48.931161,2.354286,2.341052,48.91103,2.379522,48.937732
NEMAT,Restauration de type rapide,Stade de France,48.936995,2.358772,2.341052,48.91103,2.379522,48.937732
NEMAT,Restauration de type rapide,Stade de France,48.937657,2.359852,2.341052,48.91103,2.379522,48.937732
LE TRAITEUR EXOTIQUE,Restauration de type rapide,Stade de France,48.936755,2.354777,2.341052,48.91103,2.379522,48.937732
PLAT-NET.PIZZA,Restauration de type rapide,Stade de France,48.927754,2.363514,2.341052,48.91103,2.379522,48.937732
JIANI & JIANA,Débits de boissons,Stade de France,48.923353,2.370861,2.341052,48.91103,2.379522,48.937732
INFINITY,Restauration de type rapide,Stade de France,48.926101,2.362458,2.341052,48.91103,2.379522,48.937732
STADIUM,Restauration de type rapide,Stade de France,48.924162,2.362631,2.341052,48.91103,2.379522,48.937732
VAVA,Restauration traditionnelle,Stade de France,48.935597,2.358306,2.341052,48.91103,2.379522,48.937732
FAMILIA PIZZA,Restauration de type rapide,Stade de France,48.932124,2.353791,2.341052,48.91103,2.379522,48.937732
O'SILVER SUSHI,Restauration traditionnelle,Stade de France,48.930631,2.356389,2.341052,48.91103,2.379522,48.937732
KDSB,Restauration traditionnelle,Stade de France,48.936353,2.350591,2.341052,48.91103,2.379522,48.937732
L ' EMPIRE,Restauration traditionnelle,Stade de France,48.924162,2.362631,2.341052,48.91103,2.379522,48.937732
AU RENDEZ-VOUS DES CHAUFFEURS,Restauration traditionnelle,Stade de France,48.926681,2.342004,2.341052,48.91103,2.379522,48.937732
SOC LAZRAK L ET L CAFE EPIC,Débits de boissons,Stade de France,48.925039,2.346668,2.341052,48.91103,2.379522,48.937732
BAROUK,Restauration de type rapide,Stade de France,48.926146,2.35139,2.341052,48.91103,2.379522,48.937732
RAJISTAN,Restauration de type rapide,Stade de France,48.932124,2.353791,2.341052,48.91103,2.379522,48.937732
NGM,Restauration de type rapide,Stade de France,48.93033,2.353061,2.341052,48.91103,2.379522,48.937732
OPEN BAR DE L EUROPE,Débits de boissons,Stade de France,48.931864,2.353236,2.341052,48.91103,2.379522,48.937732
SARL LE BOYARD,Restauration traditionnelle,Stade de France,48.931087,2.356137,2.341052,48.91103,2.379522,48.937732
SARL LE SEVEN,Restauration de type rapide,Stade de France,48.934552,2.355788,2.341052,48.91103,2.379522,48.937732
SUSHI SERVICES,Restauration traditionnelle,Stade de France,48.931211,2.353755,2.341052,48.91103,2.379522,48.937732
MAK,Restauration traditionnelle,Stade de France,48.936971,2.359079,2.341052,48.91103,2.379522,48.937732
LY-MACHALA,Restauration traditionnelle,Stade de France,48.930592,2.356402,2.341052,48.91103,2.379522,48.937732
MABE,Restauration traditionnelle,Stade de France,48.930631,2.356389,2.341052,48.91103,2.379522,48.937732
M. ET M.,Restauration traditionnelle,Stade de France,48.935143,2.357913,2.341052,48.91103,2.379522,48.937732
PAK FOODS,Restauration de type rapide,Stade de France,48.936866,2.357939,2.341052,48.91103,2.379522,48.937732
KINKOLE,Restauration traditionnelle,Stade de France,48.930682,2.353638,2.341052,48.91103,2.379522,48.937732
LA TABLE GOURMANDE,Débits de boissons,Stade de France,48.93451,2.356747,2.341052,48.91103,2.379522,48.937732
SARL ELBARAKA,Restauration de type rapide,Stade de France,48.928246,2.365892,2.341052,48.91103,2.379522,48.937732
BAKL,Restauration traditionnelle,Stade de France,48.926146,2.35139,2.341052,48.91103,2.379522,48.937732
CAFE DU SQUARE,Débits de boissons,Stade de France,48.930779,2.353205,2.341052,48.91103,2.379522,48.937732
BRIZ TROPIKAL,Restauration traditionnelle,Stade de France,48.928938,2.362208,2.341052,48.91103,2.379522,48.937732
JASMINE,Restauration traditionnelle,Stade de France,48.933999,2.355878,2.341052,48.91103,2.379522,48.937732
LOP HAM,Débits de boissons,Stade de France,48.923302,2.362697,2.341052,48.91103,2.379522,48.937732
SEPT KEBAB,Restauration de type rapide,Stade de France,48.936839,2.35214,2.341052,48.91103,2.379522,48.937732
ELIDA,Restauration de type rapide,Stade de France,48.935643,2.368342,2.341052,48.91103,2.379522,48.937732
LE COMPTOIR A PIZZA,Restauration de type rapide,Stade de France,48.931616,2.356253,2.341052,48.91103,2.379522,48.937732
AZONEV,Restauration traditionnelle,Stade de France,48.922994,2.37087,2.341052,48.91103,2.379522,48.937732
AZONEV,Restauration traditionnelle,Stade de France,48.935675,2.368033,2.341052,48.91103,2.379522,48.937732
SARL SOUF,Restauration de type rapide,Stade de France,48.932261,2.353912,2.341052,48.91103,2.379522,48.937732
PEOPLE STAR RESTAURANT,Restauration de type rapide,Stade de France,48.934631,2.3503,2.341052,48.91103,2.379522,48.937732
STOP BAR,Débits de boissons,Stade de France,48.92996,2.35306,2.341052,48.91103,2.379522,48.937732
SIDI BOU,Restauration traditionnelle,Stade de France,48.931263,2.355913,2.341052,48.91103,2.379522,48.937732
SARL LES ARTS,Restauration traditionnelle,Stade de France,48.935417,2.358214,2.341052,48.91103,2.379522,48.937732
P.L.S.,Débits de boissons,Stade de France,48.93644,2.355045,2.341052,48.91103,2.379522,48.937732
LE MISTRAL,Restauration de type rapide,Stade de France,48.926726,2.36585,2.341052,48.91103,2.379522,48.937732
ELINE,Restauration traditionnelle,Stade de France,48.930265,2.356538,2.341052,48.91103,2.379522,48.937732
SALON DE THE SEVRAN,Restauration de type rapide,Stade de France,48.925156,2.349879,2.341052,48.91103,2.379522,48.937732
LA FABRIQUE,Restauration de type rapide,Stade de France,48.932046,2.35368,2.341052,48.91103,2.379522,48.937732
LE METS DU ROY - HYS,Débits de boissons,Stade de France,48.935598,2.357843,2.341052,48.91103,2.379522,48.937732
SAS MH,Débits de boissons,Stade de France,48.936288,2.363077,2.341052,48.91103,2.379522,48.937732
TRB,Restauration de type rapide,Stade de France,48.934688,2.355804,2.341052,48.91103,2.379522,48.937732
2M,Restauration de type rapide,Stade de France,48.932588,2.355902,2.341052,48.91103,2.379522,48.937732
MS,Restauration de type rapide,Stade de France,48.932376,2.354774,2.341052,48.91103,2.379522,48.937732
THE CREPE HOUSE,Restauration de type rapide,Stade de France,48.934262,2.355755,2.341052,48.91103,2.379522,48.937732
NEW LUNCH,Restauration de type rapide,Stade de France,48.929897,2.352674,2.341052,48.91103,2.379522,48.937732
SAS YASSIR,Restauration de type rapide,Stade de France,48.934845,2.355982,2.341052,48.91103,2.379522,48.937732
G.S.J,Restauration de type rapide,Stade de France,48.925748,2.371699,2.341052,48.91103,2.379522,48.937732
DELICE SUN,Restauration de type rapide,Stade de France,48.933306,2.35566,2.341052,48.91103,2.379522,48.937732
SARL MADEIRAJO,Débits de boissons,Stade de France,48.927027,2.365199,2.341052,48.91103,2.379522,48.937732
MERCURY,Restauration de type rapide,Stade de France,48.92858,2.341052,2.341052,48.91103,2.379522,48.937732
LEVEL SUSHI,Restauration de type rapide,Stade de France,48.933245,2.350746,2.341052,48.91103,2.379522,48.937732
LA BAGUETTE BOURGEOISE,Restauration de type rapide,Stade de France,48.931616,2.356253,2.341052,48.91103,2.379522,48.937732
SALAD ET CIE,Restauration de type rapide,Stade de France,48.924934,2.364203,2.341052,48.91103,2.379522,48.937732
DIKOMDO,Restauration traditionnelle,Stade de France,48.92445,2.342498,2.341052,48.91103,2.379522,48.937732
SATO,Restauration de type rapide,Stade de France,48.930631,2.356389,2.341052,48.91103,2.379522,48.937732
NEUF 3,Restauration de type rapide,Stade de France,48.935908,2.367188,2.341052,48.91103,2.379522,48.937732
REST'AU CITY,Restauration de type rapide,Stade de France,48.933929,2.355712,2.341052,48.91103,2.379522,48.937732
LPP VAL D'EUROPE,Restauration traditionnelle,Stade de France,48.928246,2.365892,2.341052,48.91103,2.379522,48.937732
JENAY,Restauration traditionnelle,Stade de France,48.936795,2.360251,2.341052,48.91103,2.379522,48.937732
COTE CANAL,Débits de boissons,Stade de France,48.932479,2.348655,2.341052,48.91103,2.379522,48.937732
GOUT TROPICAL,Restauration traditionnelle,Stade de France,48.930675,2.353909,2.341052,48.91103,2.379522,48.937732
CASA PRESTO 93,Restauration de type rapide,Stade de France,48.934132,2.356283,2.341052,48.91103,2.379522,48.937732
LE LUTETIA,Débits de boissons,Stade de France,48.934352,2.367254,2.341052,48.91103,2.379522,48.937732
